"Afghanistan";"Afghanistan";”Afghanistan”			
"Åland Islands";"Åland”;"Åland”			
"Albania";"Albanien";”Albanie”			
"Algeria";"Algerien";”Algérie”			
"American Samoa";"Amerikanisch-Samoa";”Samoa américaines”			
"Andorra";"Andorra";”Andorre”			
"Angola";"Angola";”Angola”			
"Anguilla";"Anguilla";”Anguilla”			
"Antarctica";"Antarktika";”Antarctique”			
"Antigua and Barbuda";"Antigua und Barbuda";” Antigua-et-Barbuda”			
"Argentina";"Argentinien";”Argentine”			
"Armenia";"Armenien";”Arménie”			
"Aruba";"Aruba";”Aruba”			
"Australia";"Australien";”Australie”			
"Austria";"Österreich";"Autriche"			
"Azerbaijan";"Aserbaidschan";”Azerbaïdjan”			
"Bahamas";"Bahamas";”Bahamas”			
"Bahrain";"Bahrain";”Bahreïn”			
"Bangladesh";"Bangladesch";”Bangladesh”			
"Barbados";"Barbados";”Barbade”			
"Belarus";"Belarus (Weißrussland)";” Biélorussie”			
"Belgium";"Belgien";”Belgique”			
"Belize";"Belize";”Belize”			
"Benin";"Benin";”Bénin”			
"Bermuda";"Bermuda";”Bermudes”			
"Bhutan";"Bhutan";”Bhoutan”			
"Bolivia, Plurinational State of";"Bolivien";” Bolivie"			
"Bonaire, Sint Eustatius and Saba";"Bonaire, Sint Eustatius und Saba (Niederlande)";”Bonaire”			
"Bosnia and Herzegovina";"Bosnien und Herzegowina";”Bosnie-Herzégovine”			
"Botswana";"Botswana";”Botswana”			
"Bouvet Island";"Bouvetinsel";”Île Bouvet”			
"Brazil";"Brasilien";”Brésil”			
"British Indian Ocean Territory";"Britisches Territorium im Indischen Ozean";”Territoire britannique de l'océan Indien”			
"British Virgin Islands";"Britische Jungferninseln";”Îles Vierges britanniques”			
"Brunei Darussalam";"Brunei Darussalam";” Brunei”			
"Bulgaria";"Bulgarien";”Bulgarie”			
"Burkina Faso";"Burkina Faso";”Burkina Faso”			
"Burundi";"Burundi";”Burundi”			
"Cambodia";"Kambodscha";”Cambodge”			
"Cameroon";"Kamerun";”Cameroun”			
"Canada";"Kanada";”Canada”			
"Cape Verde";"Kap Verde";”Cap-Vert”			
"Cayman Islands";"Kaimaninseln";”Îles Caïmans”			
"Central African Republic";"Zentralafrikanische Republik";”Centrafricaine, République”			
"Chad";"Tschad";”Tchad”			
"Chile";"Chile";”Chili”			
"China";"China, Volksrepublik";”Chine”			
"Christmas Island";"Weihnachtsinsel";”Île Christmas“			
"Cocos (Keeling) Islands";"Kokosinseln";” Îles Cocos”			
"Colombia";"Kolumbien";”Colombie”			
"Comoros";"Komoren";”Comores”			
"Congo";"Kongo, Republik (ehem. K.-Brazzaville)"			
"Congo, the Democratic Republic of the";"Kongo, Demokratische Republik (ehem. Zaire)";” République démocratique du Congo”			
"Cook Islands";"Cookinseln";”Îles Cook”			
"Costa Rica";"Costa Rica";”Costa Rica”			
"Croatia";"Kroatien";” Croatie”			
"Cuba";"Kuba";”Cuba”			
"Curaçao";"Curaçao";”Curaçao”			
"Czech Republic";"Tschechien";”République tchèque”			
"Denmark";"Dänemark";”Danemark”	"Ecuador";"Ecuador";”Équateur”	"El Salvador";"El Salvador";”Salvador”	"Eritrea";"Eritrea";”Érythrée”
"Djibouti";"Dschibuti";”Djibouti”			
"Dominica";"Dominica";”Dominique”			
"Dominican Republic";"Dominikanische Republik";”République dominicaine”			
"Egypt";"Ägypten";"Égypt"			
"Equatorial Guinea";"Äquatorialguinea";"Guinée Équatoriale"			
"Estonia";"Estland";”Estonie”			
"Ethiopia";"Äthiopien";"Éthiopie"			
"Falkland Islands (Malvinas)";"Falklandinseln";”îles Falkland”			
"Faroe Islands";"Färöer";”Îles Féroé”			
"Fiji";"Fidschi";”Fidji”			
"Finland";"Finnland";”Finlande”			
"France";"Frankreich";”France”			
"French Guiana";"Französisch-Guayana";”Guyane”			
