"Assembly";"Assembly"
"C";"C"
"C#";"C#"
"C++";"C++"
"Clojure";"Clojure"
"CoffeeScript";"CoffeeScript"
"Common Lisp";"Common Lisp"
"Dart";"Dart"
"Elixir";"Elixir"
"Erlang";"Erlang"
"F#";"F#"
"Fortran";"Fortran"
"Go";"Go"
"Groovy";"Groovy"
"Hack";"Hack"
"Haskell";"Haskell"
"Java";"Java"
"JavaScript";"JavaScript"
"Julia";"Julia"
"Lua";"Lua"
"Matlab";"Matlab"
"Objective-C";"Objective-C"
"Perl";"Perl"
"PHP";"PHP"
"Python";"Python"
"R";"R"
"Ruby";"Ruby"
"Rust";"Rust"
"Scala";"Scala"
"Smalltalk";"Smalltalk"
"SQL";"SQL"
"Swift";"Swift"
"TypeScript";"TypeScript"
"VB.NET";"VB.NET"
"VBA";"VBA"
"Visual Basic";"Visual Basic"
