section,code,question,lang_trans1,lang_trans2,lang_trans3,answer_format,conditional,source,comment
1,socio1,In which country do you work?,,,,Drop down list,,https://github.com/datasets/country-list,
1,edu1,What is the highest qualification you have obtained?,,,,Drop down list,,,
1,edu2,In which subject is your highest academic qualification?,,,,Drop down list,if qualification,http://www.thecompleteuniversityguide.co.uk/courses,
1,edu3,Enter your academic subject,,,,FREETEXT,if other at the previous one,,
1,edu4,Do you hold any other professional qualifications?,,,,FREETEXT,,,
1,rse1,Do you write software as part of your job?,,,,Y/N/NA,,,
1,rse3,Who uses the code that you write?,,,,Likert (RSE),,,
1,soft2can,Do you consider yourself a professional software developer?,,,,Y/N/NA,,,
1,soft1can,How many years of software development experience do you have?,,,,FREENUMERIC,,,
1,time1can,"In an average month, how much time do you spend on software development (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)",,,,LIKERT (TIME) 1-10,,,
1,time2can,"In an average month, how much time do you spend on research",,,,LIKERT (TIME) 1-10,,,
1,time3can,"In an average month, how much time do you spend on management",,,,LIKERT (TIME) 1-10,,,
1,time4can,"In an average month, how much time do you spend on teaching",,,,LIKERT (TIME) 1-10,,,
1,time5can,"In an average month, how much time do you spend on other activities",,,,LIKERT (TIME) 1-10,,,
2,currentEmp1,What type of organisation do you work for?,,,,Drop down list,,,
2,currentEmp2,In which University?,,,,Drop down list,If ‘University’ at currentEmp1,Lost source but modified to include different London Univ,
2,currentEmp3,Please enter the university,,,,FREETEXT,If others at currentEmp2,,
2,currentEmp4,Which organisation do you work for?,,,,FREETEXT,If NOT ‘University’ at currentEmp1,,
2,currentEmp5,What is your official job title?,,,,FREETEXT,,,
2,currentEmp6,"Are you known in your group by a different job title? If so, please enter the job title you use",,,,FREETEXT,,,
2,currentEmp12,Do you work full time or part time,,,,Drop down list,,,
2,currentEmp10,What type of contract are you employed on?,,,,Drop down list,,Lost source but modified,
2,currentEmp9,When did you start your current contract,,,,Datetime,,,
2,currentEmp11,What is the duration of your current contract?,,,,FREENUMERIC,,,
2,currentEmp8,In which academic subject do you primarily work?,,,,Drop down list,,Same source as for academic field,
2,currentEmp7,Do you primarily work across multiple disciplines?,,,,Y/N/NA,,,
2,currentEmp13,Please select all the disciplines you are working for,,,,Drop down list,If Yes in currentEmp7,Same source as for academic field,
3,prevEmp1,Where was your previous job based?,,,,Drop down list,,,
3,prevEmp2,How important were the following features to your decision to accept your current position?,,,,Drop down list,,"RSE interviews, review main features that people liked in their job",
3,prevEmpCode3, How many years have you been coding professionally?,,,,FREENUMERIC,,,
4,currentWork1,Do you provide help and expertise in software development to researchers from across your organisation?,,,,Y/N/NA,,,
4,currentWork3,What percentage of your time do you spend developing software each week?,,,,FREENUMERIC,,,
4,paper1,Has your software contributed to research that has been published in a journal or at a conference?,,,,Y/N/NA,,,
4,paper2,"In general, when your software contributes to a paper, are you acknowledged in that paper?",,,,Y/N/NA,,,
4,paper3,Are you generally named as the main author of the paper?,,,,Y/N/NA,if yes to paper2,,
4,paper4,Are you generally named as a co-author of the paper?,,,,Y/N/NA,if no to paper3,,
4,conf1can,Have you ever presented your software work at a conference or workshop?,,,,FREETEXT,,,
4,conf2can,"If yes, which conference(s)/workshop(s)",,,,FREETEXT,conf2_can,,
4,stability1,What is the bus factor of your most important software project?,,,,Drop down list,,,
4,stability2,Is there a technical hand-over plan for your most important software project?,,,,Y/N/NA,,,
4,currentWork2,Do you work for a Research Software Group?,,,,Y/N/NA,,,
4,proj1can,How many software projects are you currently involved in?,,,,FREENUMERIC,,,
4,proj4can,How are your projects typically tested (check all that apply)? ,,,,"No formal testing, the developers do their own testing, dedicated test engineers, user testing",,,
4,open01can,"Do you release some of the software projects you’ve worked on, under an open source licence or as free software",,,,Y/N/NA,,,
4,open1can,What percentage of the software projects you've worked on are released under an open source license or as free software?,,,,FREENUMERIC,if YES to open01can,,
4,open03an,Do you associate a Digital Object Identifier (DOI) to some of the software project you’ve worked on?,,,,Y/N/NA,,,
4,open3can,What percentage of the software projects you've worked on have an associated Digital Object Identifier (DOI)?,,,,FREENUMERIC,if YES to open03can,,
4,train1,Do you conduct training of researchers in computational skills,,,,Y/N,,,
4,train2,How many time in a year do you conduct this training?,,,,FREENUMERIC,if YES to train1,,
4,train3,What training programs are you involved with (comma separated list),,,,FREETEXT,if YES to train1,,
5,perfCheck1,Do you receive sufficient information on the results of your work?,,,,Likert (Time),,,
5,perfCheck2,Does your work give you the opportunity to check on how well you are doing your work?,,,,Likert (Time),,,
5,perfCheck3,"In your work, do you have access to sufficient data and information?",,,,Likert (Time),,,
5,perfCheck4,Do you receive sufficient information on the purpose of your work?,,,,Likert (Time),,,
5,perfCheck5,Does your work provide you with direct feedback on how well you are doing your work?,,,,Likert (Time),,,
5,perfCheck6,Does your supervisor/line manager inform you about how well you are doing your work?,,,,Likert (Time),,,
5,perfCheck7,Do your colleagues inform you about how well you are doing your work?,,,,Likert (Time),,,
5,turnOver1,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,,,,Likert (Time),,,
5,turnOver2,How often do you look forward to another day at work?,,,,Likert (Time),,,
5,turnOver3,How often do you consider leaving your job?,,,,Likert (Time),,,
5,turnOver4,How often do dream about getting another job that will better suit your needs?,,,,Likert (Time),,,
5,turnOver5,My current job satisfies my personal needs,,,,Likert (Agree),,,
5,turnOver6,I would accept another job at the same compensation level if I was offered it,,,,Likert (Agree),,,
5,affRec1,I am satisfied with my supervisor/line manager's confidence in me,,,,Likert (Agree),,,
5,affRec2,I am satisfied with a word of thanks from my supervisor/line manager,,,,Likert (Agree),,,
5,affRec3,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,,,,Likert (Agree),,,
5,affRec4,I am satisfied with the compliments from my supervisor/line manager concerning my work,,,,Likert (Agree),,,
5,affRec5,I am satisfied with the encouragement from my supervisor/line manager while doing my job,,,,Likert (Agree),,,
5,percEmp1,It would not be very difficult for me to get an equivalent job in a different organisation,,,,Likert (Agree),,,
5,percEmp2,I can think of a number of organisations that would probably offer me a job,,,,Likert (Agree),,,
5,percEmp3,My experience is in demand on the labour market,,,,Likert (Agree),,,
5,percEmp4,"Given my qualifications and experience, getting a new job would not be very hard at all",,,,Likert (Agree),,,
5,affSat1,I find real enjoyment in my job,,,,Likert (Agree),,,
5,affSat2,Most days I am enthusiastic about my job,,,,Likert (Agree),,,
5,affSat3,I feel fairly well satisfied with my job,,,,Likert (Agree),,,
5,affSat4,I like my job better than the average person,,,,Likert (Agree),,,
6,skill1,"In your opinion, what are the three most important skills that a Research Software Engineer must possess?",,,,3 FREETEXT (skills),,,
6,skill2,What three skills would you like to acquire or improve to help your work as a Research Software Engineer? The skills can be technical and non-technical.,,,,3 FREETEXT (skills),,,
6,tool1,What are the three tools or services you use most often to achieve your work?,,,,3 FREETEXT (skills),,,
6,tool2,What is your Operating System of choice for use at work?,,,,Drop down list,,,
,tool4can,What programming languages do you use in developing research software?,,,,Drop down list,,,
6,socio2,Please select your gender,,,,Drop down list,,https://www.gov.uk/service-manual/user-centred-design/resources/patterns/gender-and-sex.html,
6,socio3,Please select your age,,,,Drop down list,,,
6,socio4,Please select the range of your salary,,,,Drop down list,,,
6,socio5,What is your ethnicity group,,,,Drop down list,,https://www.academia.edu/1112558/Comparative_study_on_the_collection_of_data_to_measure_the_extent_and_impact_of_discrimination_within_the_United_States_Canada_Australia_the_United_Kingdom_and_the_Netherlands,https://www.ons.gov.uk/ons/guide-method/...set-of...questions/ethnic-group.pdf
6,ukrse1,Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),,,,Y/N/NA,,,
6,ukrse2,How did you build your network within the RSE community? ,,,,Drop down list,,,
6,ukrse3,Please give us details on how you create your network ,,,,FREETEXT,if other to ukrse2,,
6,disa1,Do you have a condition that is defined as a disability by the Equality Act 2010*,,,,Y/N/NA,,,
