,Count
"Federal and state governments (BMBF, BMWi, BMVg and other sections)",110
"DFG, German Research Foundation",89
"European Union (e.g. H2020, COST, EUREKA)",38
I volunteer my time,21
"Foundations and conveyors (public and private, e.g. VolkswagenStiftung, Robert Bosch Stiftung, Klaus Tschira Stiftung, Stiftung Mercator)",13
Industry support,7
Consulting & services,4
Membership,3
Stifterverband,1
Associations and chambers,1
Venture capital,1
Dual license,1
Crowdfunding (one-time),0
Crowdfunding (recurring),0
Open core,0
Trademark licensing & franchising,0
