,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,How often do you look forward to another day at work?,How often do you consider leaving your job?,How often do dream about getting another job that will better suit your needs?
﻿1 (None at all),16.27906976744186,5.426356589147287,42.63565891472868,35.65891472868217
2,23.64864864864865,1.3513513513513513,42.567567567567565,32.432432432432435
3,30.57851239669421,7.43801652892562,33.057851239669425,28.92561983471074
4,37.2093023255814,20.930232558139537,20.930232558139537,20.930232558139537
5,36.27450980392157,26.47058823529412,17.647058823529413,19.607843137254903
6,31.313131313131315,33.33333333333333,13.131313131313133,22.22222222222222
7,21.487603305785125,36.36363636363637,16.528925619834713,25.6198347107438
8,19.379844961240313,47.286821705426355,17.829457364341085,15.503875968992247
9,19.78021978021978,51.64835164835166,13.186813186813188,15.384615384615385
10 (All my time),15.517241379310345,39.6551724137931,15.517241379310345,29.310344827586203
