"On average, how many times a year do you take part in providing training?","train2. On average, how many times a year do you take part in providing training?"
0,
1,
2,
3,4.0
4,
5,
6,
7,
8,2.0
9,
10,15.0
11,
12,2.0
13,3.0
14,
15,
16,2.0
17,
18,1.0
19,3.0
20,2.0
21,
22,
23,3.0
24,
25,3.0
26,
27,2.0
28,
29,
30,
31,1.0
32,
33,2.0
34,2.0
35,1.0
36,
37,
38,
39,2.0
40,2.0
41,4.0
42,
43,1.0
44,
45,2.0
46,1.0
47,2.0
48,4.0
49,
50,5.0
51,
52,2.0
53,
54,
55,5.0
56,2.0
57,3.0
58,
59,3.0
60,2.0
61,4.0
62,
63,
64,3.0
65,
66,3.0
67,2.0
68,
69,
70,2.0
71,2.0
72,2.0
73,
74,2.0
75,2.0
76,
77,
78,
79,1.0
80,10.0
81,2.0
82,
83,
84,
85,
86,
87,0.0
88,3.0
89,3.0
90,0.0
91,4.0
92,0.0
93,
94,
95,1.0
96,2.0
97,2.0
98,2.0
99,2.0
100,3.0
101,1.0
102,2.0
103,4.0
104,6.0
105,3.0
106,4.0
107,
108,
109,
110,
111,3.0
112,5.0
113,2.0
114,1.0
115,2.0
116,2.0
117,2.0
118,
119,15.0
120,1.0
121,
122,2.0
123,2.0
124,30.0
125,6.0
126,
127,1.0
128,
129,1.0
130,2.0
131,1.0
132,3.0
133,1.0
134,
135,
136,1.0
137,
138,6.0
139,4.0
140,2.0
141,6.0
142,
143,
144,3.0
145,
146,2.0
147,
148,
149,
150,3.0
151,1.0
152,2.0
153,
154,
155,0.0
156,4.0
157,
158,1.0
159,
160,2.0
161,
162,
163,24.0
164,4.0
165,
166,
167,3.0
168,
169,6.0
170,4.0
171,
172,5.0
173,3.0
174,1.0
175,5.0
176,
177,2.0
178,2.0
179,2.0
180,
181,
182,
183,
184,
185,4.0
186,3.0
187,3.0
188,7.0
189,
190,
191,0.0
192,
193,1.0
194,2.0
195,5.0
196,
197,3.0
198,
199,16.0
200,
201,
202,
203,
204,6.0
205,4.0
206,
207,
208,
209,10.0
210,3.0
211,3.0
212,12.0
213,1.0
214,
215,
216,4.0
217,8.0
218,4.0
219,
220,
221,3.0
222,3.0
223,
224,3.0
225,
226,
227,2.0
228,1.0
229,2.0
230,2.0
231,1.0
232,
233,
234,3.0
235,
236,0.0
237,
238,
239,2.0
240,
241,
242,1.0
243,
244,1.0
245,1.0
246,3.0
247,20.0
248,2.0
249,
250,3.0
251,2.0
252,2.0
