,What is the total duration of your current employment (in years)?
0,1.0
1,1.0
2,2.0
3,7.0
4,1.0
5,2.0
6,2.5
7,23.0
8,1.0
9,2.0
10,6.0
11,2.3
12,4.0
13,5.0
14,13.0
15,27.0
16,12.0
17,11.0
18,10.0
19,3.0
20,3.0
21,11.0
22,
23,3.0
24,1.0
25,2.0
26,8.0
27,5.0
28,15.0
29,3.0
30,2.0
31,3.0
32,1.2
33,4.0
34,5.0
35,6.0
36,2.0
37,0.1
38,
39,12.0
40,5.0
41,20.0
42,5.0
43,3.0
44,2.0
45,4.0
46,16.0
47,5.0
48,8.0
49,12.0
50,9.0
51,6.0
52,0.2
53,2.0
54,5.0
55,15.0
56,37.0
57,2.0
58,6.0
59,5.0
60,24.0
61,3.0
62,1.0
63,3.0
64,1.0
65,
66,6.0
67,5.0
68,5.0
69,4.0
70,5.0
71,3.5
72,17.0
73,2.0
74,27.0
75,10.0
76,3.0
77,5.0
78,1.0
79,0.3
80,10.0
81,2.0
82,1.0
83,2.0
84,3.0
85,0.0
86,2.5
87,4.0
88,2.0
89,2.0
90,9.0
91,19.0
92,5.0
93,3.0
94,1.0
95,6.0
96,2.0
97,2.0
98,6.0
99,8.0
100,16.0
101,6.0
102,3.0
103,2.0
104,3.0
105,6.0
106,22.0
107,24.0
108,5.0
109,3.0
110,2.0
111,3.0
112,25.0
113,24.0
114,3.0
115,9.0
116,17.0
117,4.0
118,7.0
119,8.0
120,3.0
121,9.0
122,7.0
123,6.0
124,5.0
125,3.5
126,2.5
127,5.0
128,2.0
129,2.0
130,18.0
131,3.0
132,1.4
133,4.0
134,3.0
135,4.0
136,1.5
137,1.0
138,2.0
139,1.0
140,18.0
141,5.0
142,2.0
143,4.0
144,2.0
145,20.0
146,7.0
147,4.0
148,15.0
149,6.0
150,6.0
151,6.0
152,1.0
153,1.0
