How many years of Software development experience do you have?,soft1can. How many years of Software development experience do you have? [PERCENTAGE]
0,0.3583426651735723
1,1.3437849944008957
2,0.08958566629339307
3,0.2687569988801792
4,0.8958566629339306
5,0.761478163493841
6,0.5375139977603584
7,1.0302351623740202
8,0.044792833146696534
9,0.08958566629339307
10,0.17917133258678614
11,0.4479283314669653
12,0.4479283314669653
13,0.8958566629339306
14,0.8958566629339306
15,1.3437849944008957
16,1.433370660694289
17,1.7917133258678613
18,0.4479283314669653
19,0.0
20,0.4479283314669653
21,0.8958566629339306
22,1.1198208286674132
23,0.044792833146696534
24,0.22396416573348266
25,0.2687569988801792
26,0.22396416573348266
27,0.8958566629339306
28,0.851063829787234
29,0.5375139977603584
30,0.8062709966405376
31,0.8062709966405376
32,0.3583426651735723
33,1.3437849944008957
34,0.5375139977603584
35,0.9854423292273237
36,0.6718924972004479
37,0.3135498320268757
38,0.0
39,0.6718924972004479
40,0.4479283314669653
41,0.9854423292273237
42,0.4479283314669653
43,0.2687569988801792
44,0.08958566629339307
45,0.2687569988801792
46,0.8062709966405376
47,0.8958566629339306
48,0.5375139977603584
49,1.7917133258678613
50,1.1646136618141096
51,2.2396416573348263
52,0.8062709966405376
53,0.4479283314669653
54,0.0
55,1.4781634938409856
56,1.6573348264277716
57,0.761478163493841
58,0.0
59,0.08958566629339307
60,1.3437849944008957
61,0.3583426651735723
62,0.044792833146696534
63,0.8958566629339306
64,0.08958566629339307
65,0.4031354983202688
66,1.5677491601343785
67,0.761478163493841
68,0.17917133258678614
69,0.8062709966405376
70,0.4479283314669653
71,0.22396416573348266
72,0.0
73,0.3135498320268757
74,1.3437849944008957
75,0.6718924972004479
76,0.1343784994400896
77,0.4479283314669653
78,1.3437849944008957
79,1.1198208286674132
80,0.4479283314669653
81,0.4479283314669653
82,0.22396416573348266
83,0.6718924972004479
84,0.6270996640537514
85,0.4031354983202688
86,0.2015677491601344
87,1.1198208286674132
88,1.2094064949608063
89,0.3583426651735723
90,0.7166853303471445
91,1.1198208286674132
92,0.0
93,0.1343784994400896
94,0.044792833146696534
95,0.2687569988801792
96,0.0
97,0.5375139977603584
98,1.1198208286674132
99,1.3437849944008957
100,1.1646136618141096
101,0.761478163493841
102,0.1343784994400896
103,0.1343784994400896
104,0.22396416573348266
105,0.5375139977603584
106,0.8958566629339306
107,0.22396416573348266
108,0.6718924972004479
109,0.1343784994400896
110,0.08958566629339307
111,0.3583426651735723
112,1.3437849944008957
113,0.1343784994400896
114,1.2094064949608063
115,1.1198208286674132
116,0.8062709966405376
117,0.8062709966405376
118,1.522956326987682
119,0.4479283314669653
120,0.1343784994400896
121,1.2989921612541993
122,0.3583426651735723
123,0.5823068309070548
124,0.3583426651735723
125,0.22396416573348266
126,0.17917133258678614
127,0.22396416573348266
128,0.3135498320268757
129,1.3437849944008957
130,0.8958566629339306
131,0.851063829787234
132,0.0
133,0.8958566629339306
134,0.5823068309070548
135,0.1343784994400896
136,0.08958566629339307
137,0.8958566629339306
138,1.4781634938409856
139,0.22396416573348266
140,1.1198208286674132
141,0.3135498320268757
142,0.0
143,0.22396416573348266
144,0.4479283314669653
145,0.8958566629339306
146,1.0750279955207167
147,0.5375139977603584
148,0.8958566629339306
149,0.4031354983202688
150,0.6718924972004479
151,0.6718924972004479
152,0.044792833146696534
153,0.22396416573348266
154,0.044792833146696534
155,0.044792833146696534
156,0.17917133258678614
157,0.8958566629339306
158,0.3135498320268757
159,0.6718924972004479
160,0.4479283314669653
161,0.4479283314669653
162,1.1198208286674132
163,0.5375139977603584
