Spending time,"In an average month, how much time do you spend on software development (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)","In an average month, how much time do you spend on Research","In an average month, how much time do you spend on Management","In an average month, how much time do you spend on Teaching","In an average month, how much time do you spend on Other activities","In an average month, how much time would you like to spend on programming? (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)","In an average month, how much time would you like to spend on Research","In an average month, how much time would you like to spend on Management","In an average month, how much time would you like to spend on Teaching"
1 (Never),2.0,,5.0,5.0,3.0,,,9.0,5.0
2,4.0,3.0,4.0,9.0,3.0,3.0,2.0,4.0,3.0
3,3.0,6.0,8.0,3.0,5.0,3.0,2.0,4.0,3.0
4,3.0,4.0,1.0,3.0,4.0,4.0,2.0,1.0,5.0
5,3.0,,,,6.0,3.0,2.0,1.0,2.0
6,4.0,2.0,,,,4.0,2.0,,1.0
7,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,
8,1.0,1.0,,1.0,,2.0,5.0,2.0,3.0
9,,1.0,1.0,,,2.0,1.0,,
10 (Always),1.0,4.0,,,,,4.0,,
