,"In an average month, how much time would you like to spend on programming? (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)","In an average month, how much time would you like to spend on Research","In an average month, how much time would you like to spend on Management","In an average month, how much time would you like to spend on Teaching"
1 (Never),,,9.0,5.0
2,3.0,2.0,4.0,3.0
3,3.0,2.0,4.0,3.0
4,4.0,2.0,1.0,5.0
5,3.0,2.0,1.0,2.0
6,4.0,2.0,,1.0
7,1.0,2.0,1.0,
8,2.0,5.0,2.0,3.0
9,2.0,1.0,,
10 (Always),,4.0,,
