"Abraham Geiger College";"Abraham-Geiger-Kolleg"
"University of Freiburg";"Albert-Ludwigs-Universität Freiburg"
"Schüttler Waske Tennis-University";"Alexander Waske Tennis-University"
"Alma Mater Viadrina";"Alma Mater Viadrina"
"Baltic University";"Baltische Universität"
"Bauhaus University";"Bauhaus-Universität Weimar"
"University of Wuppertal";"Bergische Universität Wuppertal"
"Berlin Graduate School for Transnational Studies";"Berlin Graduate School for Transnational Studies"
"Brandenburg University of Technology";"Brandenburgische Technische Universität"
"Brandenburg University of Technology Cottbus-Senftenberg";"Brandenburgische Technische Universität Cottbus-Senftenberg"
"University of Oldenburg";"Carl von Ossietzky Universität Oldenburg"
"Center for Integrated Protein Science Munich";"Center for Integrated Protein Science Munich"
"University of Kiel";"Christian-Albrechts-Universität zu Kiel"
"German Sport University Cologne";"Deutsche Sporthochschule Köln"
"German University of Administrative Sciences Speyer";"Deutsche Universität für Verwaltungswissenschaften Speyer"
"University of Flensburg";"Europa-Universität Flensburg"
"Viadrina European University";"Europa-Universität Viadrina"
"European Academy of Work";"Europäische Akademie der Arbeit"
"University of Applied Sciences Kaiserslautern";"Fachhochschule Kaiserslautern"
"FernUniversität Hagen";"Fernuniversität Hagen"
"German Academy of Film Arts";"Filmuniversität Babelsberg „Konrad Wolf“"
"Folkwang University of the Arts";"Folkwang Universität der Künste"
"Frankfurt School of Finance & Management";"Frankfurt School of Finance & Management"
"Free University of Berlin";"Freie Universität Berlin"
"University of Erlangen-Nuremberg";"Friedrich-Alexander-Universität Erlangen-Nürnberg"
"University of Jena";"Friedrich-Schiller-Universität Jena"
"Frederick William University";"Friedrich-Wilhelms-Universität zu Berlin"
"University of Göttingen";"Georg-August-Universität Göttingen"
"Gewerbeinstitut Berlin";"Gewerbeinstitut Berlin"
"Goethe University Frankfurt";"Goethe-Universität Frankfurt am Main"
"University of Hanover";"Gottfried Wilhelm Leibniz Universität Hannover"
"HafenCity University Hamburg";"HafenCity Universität Hamburg"
