section,code,questions,answer_format,file_17,other,random,mandatory,condition,Original title,created_answer_file
1,socio1,In which country do you live?,ONE CHOICE,countries,,,,,In which country do you live? --  -- ,
1,edu1,What is the highest qualification you have obtained?,ONE CHOICE,education,,,,,What is the highest qualification you have obtained? --  -- ,
1,edu2,What was your academic subject?,ONE CHOICE,academic_field,,,,,What was your academic subject? --  --  --  --  --  --  --  --  --  --  --  -- ,
1,edu3,Enter your academic subject,FREETEXT,,,,,,Enter your academic subject --  -- ,
1,edu4,"Do you hold any professional qualifications? If yes, please enter them separated by commas.",FREETEXT,,,,,,Do you hold any professional qualifications? If yes,
1,rse16a,Are you employed primarily to develop software for research?,Y/N/NA,,,,,,Are you employed primarily to develop software for research?,
1,rse16b,Do you spend more time developing software than conducting research?,Y/N/NA,,,,,,Do you spend more time developing software than conducting research?,
1,rse16c,Are you employed as a postdoctoral researcher?,Y/N/NA,,,,,,Are you employed as a postdoctoral researcher?,
1,rse16d,"Are you the person who ""does computers"" in your research group?",Y/N/NA,,,,,,"Are you the person who ""does computers"" in your research group?",
2,currentEmp1,Do you work for a university?,Y/N/NA,,,,,,Do you work for a university? --  -- ,
2,currentEmp2,Which university?,ONE CHOICE,universities,,,,,Which university? --  -- ,
2,currentEmp4,Which organisation do you work for?,ONE CHOICE,type_organisation,,,,, --  -- Which organisation do you work for? --  --  --  -- ,
2,currentEmp5,What is your official job title (i.e. the job title on your contract of employment)?,FREETEXT,,,,,, --  --  --  --  --  -- What is your official job title (i.e. the job title on your contract of employment)? --  -- ,
2,currentEmp6,In what year did you start your current position?,FREETEXT,,,,,, --  -- In what year did you start your current position? --  --  --  -- ,
2,currentEmp10,What type of contract are you employed on?,ONE CHOICE,type_contract,,,,,What type of contract are you employed on? --  -- ,
2,currentEmp11,What is the duration of your current contract?,FREETEXT,,,,,,What is the duration of your current contract? --  -- ,
2,currentEmp12,Do you work full time or part time?,ONE CHOICE,type_hours,,,,,Do you work full time or part time? --  -- ,
2,currentEmp16a,Is this your first job?,Y/N/NA,,,,,,Is this your first job? --  -- ,
2,prevEmp16a,Have you previously worked in the private sector?,Y/N/NA,,,,,,Have you previously worked in the private sector? --  -- ,
2,prevEmp16b,Why did you leave the private sector?,ONE CHOICE,reasons_leave_job,,,,,Why did you leave the private sector? --  -- ,
2,prevEmp16c,What was the official job title of your previous job (i.e. the job title stated on your contact of employment)?,FREETEXT,,,,,,What was the official job title of your previous job (i.e. the job title stated on your contact of employment)? --  -- ,
2,prevEmp16d,What was the type of your contract?,ONE CHOICE,type_contract,,,,, --  --  --  --  --  -- What was the type of your contract? --  -- ,
3,currentEmp6,Are you known in your group by a different job title (e.g. the job title on your group website or business cards)?,Y/N/NA,,,,,, --  --  --  --  --  -- Are you known in your group by a different job title (e.g. the job title on your group website or business cards)? --  -- ,
3,currentEmp5,What is this job title?,FREETEXT,,,,,,What is this job title? --  -- ,
3,currentWork2,Do you work within a group that provides software development help or expertise to researchers from other groups within your organisation?,Y/N/NA,,,,,,Do you work within a group that provides software development help or expertise to researchers from other groups within your organisation? --  -- ,
3,currentWork16a,What percentage of your time do you spend developing software each week?,FREETEXT,,,,,, --  -- What percentage of your time do you spend developing software each week? --  --  --  -- ,
3,paper1,Has your software ever contributed to research that has been published in a journal or at a conference?,Y/N/NA,,,,,,Has your software ever contributed to research that has been published in a journal or at a conference? --  -- ,
3,paper2,Were you acknowledged in the paper?,Y/N/NA,,,,,,Were you acknowledged in the paper?,
3,paper4,Were you named as a co-author of the paper?,Y/N/NA,,,,,,Were you named as a co-author of the paper?,
3,paper5,Were you named as the lead author of the paper?,Y/N/NA,,,,,,Were you named as the lead author of the paper?,
3,stability1,What is the bus factor of your most important software project?,LIKERT,,,,,," --  --  --  --  --  -- What is the bus factor of your most important software project? --  --  --  --  --  -- Your ""most important software project"" is the work-related project that you believe to have had the greatest impact on the research community. --  --  --  -- The ""bus factor"" designates the minimal number of developers that have to be hit by a bus (or quit) before a project is incapacitated. --  --  --  -- ",
3,stability2,Is there a technical hand-over plan for your most important software project?,Y/N/NA,,,,,," --  --  --  --  --  -- Is there a technical hand-over plan for your most important software project? --  --  --  --  --  -- Your ""most important software project"" is the work-related project that you believe to have had the greatest impact on the research community. --  --  --  -- ",
4,perfCheck1,Do you receive sufficient information on the results of your work?,LIKERT,likert_time_5,,,,,Do you receive sufficient information on the results of your work?,
4,perfCheck2,Does your work give you the opportunity to check on how well you are doing your work?,LIKERT,likert_time_5,,,,,Does your work give you the opportunity to check on how well you are doing your work?,
4,perfCheck3,"In your work, do you have access to sufficient data and information?",LIKERT,likert_time_5,,,,,In your work,
5,perfCheck4,Do you receive sufficient information on the purpose of your work?,LIKERT,likert_time_5,,,,,Do you receive sufficient information on the purpose of your work?,
5,perfCheck5,Does your work provide you with direct feedback on how well you are doing your work?,LIKERT,likert_time_5,,,,,Does your work provide you with direct feedback on how well you are doing your work?,
5,perfCheck6,Does your supervisor/line manager inform you about how well you are doing your work?,LIKERT,likert_time_5,,,,,Does your supervisor/line manager inform you about how well you are doing your work?,
5,perfCheck7,Do your colleagues inform you about how well you are doing your work?,LIKERT,likert_time_5,,,,,Do your colleagues inform you about how well you are doing your work?,
4,turnOver1,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,LIKERT,likert_time_5,,,,,How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,
4,turnOver2,How often do you look forward to another day at work?,LIKERT,likert_time_5,,,,,How often do you look forward to another day at work?,
5,turnOver3,How often do you consider leaving your job?,LIKERT,likert_time_5,,,,,How often do you consider leaving your job?,
5,turnOver4,How often do dream about getting another job that will better suit your needs?,LIKERT,likert_time_5,,,,,How often do dream about getting another job that will better suit your needs?,
5,turnOver5,My current job satisfies my personal needs,LIKERT,likert_agree,,,,,My current job satisfies my personal needs,
5,turnOver6,I would accept another job at the same compensation level if I was offered it,LIKERT,likert_agree,,,,,I would accept another job at the same compensation level if I was offered it,
4,affRec1,I am satisfied with my supervisor/line manager's confidence in me,LIKERT,likert_agree,,,,,I am satisfied with my supervisor/line manager's confidence in me,
4,affRec2,I am satisfied with a word of thanks from my supervisor/line manager,LIKERT,likert_agree,,,,,I am satisfied with a word of thanks from my supervisor/line manager,
5,affRec3,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,LIKERT,likert_agree,,,,,I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,
5,affRec4,I am satisfied with the compliments from my supervisor/line manager concerning my work,LIKERT,likert_agree,,,,,I am satisfied with the compliments from my supervisor/line manager concerning my work,
5,affRec5,I am satisfied with the encouragement from my supervisor/line manager while doing my job,LIKERT,likert_agree,,,,,I am satisfied with the encouragement from my supervisor/line manager while doing my job,
4,percEmp1,It would not be very difficult for me to get an equivalent job in a different organisation,LIKERT,likert_agree,,,,,It would not be very difficult for me to get an equivalent job in a different organisation,
4,percEmp2,I can think of a number of organisations that would probably offer me a job,LIKERT,likert_agree,,,,,I can think of a number of organisations that would probably offer me a job,
4,percEmp3,My experience is in demand on the labour market,LIKERT,likert_agree,,,,,My experience is in demand on the labour market,
5,percEmp4,"Given my qualifications and experience, getting a new job would not be very hard at all",LIKERT,likert_agree,,,,,Given my qualifications and experience,
4,affSat1,I find real enjoyment in my job,LIKERT,likert_agree,,,,,I find real enjoyment in my job,
4,affSat2,Most days I am enthusiastic about my job,LIKERT,likert_agree,,,,,Most days I am enthusiastic about my job,
4,affSat3,I feel fairly well satisfied with my job,LIKERT,likert_agree,,,,,I feel fairly well satisfied with my job,
5,affSat4,I like my job better than the average person,LIKERT,likert_agree,,,,,I like my job better than the average person,
5,progRSE1,It is likely that I will gain a promotion within my current group,LIKERT,likert_agree,,,,,It is likely that I will gain a promotion within my current group,
5,progRSE2,The process I have to complete to gain a promotion is clear and understandable,LIKERT,likert_agree,,,,,The process I have to complete to gain a promotion is clear and understandable,
5,progRSE3,There are many opportunities within my chosen career plan,LIKERT,likert_agree,,,,,There are many opportunities within my chosen career plan,
4,progRSE4,My current position is an integral part of my career plan,LIKERT,likert_agree,,,,,My current position is an integral part of my career plan,
4,progRSE5,It is likely that my next position will be an RSE role,LIKERT,likert_agree,,,,,It is likely that my next position will be an RSE role,
6,skill2,"In your opinion, what are the three most important skills that a Research Software Engineer must possess?",FREETEXT,,,,,,Skill 1,
6,skill2-1,"In your opinion, what are the three most important skills that a Research Software Engineer must possess?",FREETEXT,,,,,,Skill 2,
6,skill2-2,"In your opinion, what are the three most important skills that a Research Software Engineer must possess?",FREETEXT,,,,,,Skill 3,
6,ukrse1,Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),Y/N/NA,,,,,,Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list) --  -- ,
6,tool1,What are the three tools or services you use most often to achieve your work?,FREETEXT,,,,,,Tool/Service 1,
6,tool16a,What are the three tools or services you use most often to achieve your work?,FREETEXT,,,,,,Tool/Service 2,
6,tool16b,What are the three tools or services you use most often to achieve your work?,FREETEXT,,,,,,Tool/Service 3,
6,socio2,Please select your gender,ONE CHOICE,gender,,,,,Please select your gender --  -- ,
