"On average, how many times a year do you take part in providing training?","train2. On average, how many times a year do you take part in providing training?"
0,4.0
1,1.0
2,
3,4.0
4,
5,
6,8.0
7,
8,10.0
9,4.0
10,2.0
11,3.0
12,
13,0.0
14,
15,
16,2.0
17,1.0
18,
19,
20,3.0
21,
22,2.0
23,1.0
24,2.0
25,
26,2.0
27,
28,1.0
29,
30,0.0
31,1.0
32,0.0
33,
34,0.0
35,2.0
36,2.0
37,10.0
38,
39,3.0
40,1.0
41,
42,2.0
43,
44,2.0
45,0.2
46,
47,
48,25.0
49,2.0
50,2.0
51,
52,
53,
54,3.0
55,2.0
56,2.0
57,
58,0.0
59,
60,2.0
61,0.0
62,
63,
64,2.0
65,2.0
66,
67,
68,
69,3.0
70,
71,
72,
73,2.0
74,2.0
75,
76,2.0
