,"In an average month, how much time do you spend on software development","In an average month, how much time do you spend on Research","In an average month, how much time do you spend on Management","In an average month, how much time do you spend on Teaching","In an average month, how much time do you spend on Other activities"
1 (None at all),2,8.0,18.0,46.0,11.0
2,6,25.0,27.0,26.0,36.0
3,6,14.0,15.0,1.0,20.0
4,5,11.0,8.0,1.0,7.0
5,10,8.0,,2.0,1.0
6,14,3.0,4.0,1.0,1.0
7,13,5.0,1.0,,
8,11,3.0,3.0,,1.0
9,7,,,,
10 (All my time),3,,1.0,,
