,socio1. In which country do you work?,rse1. Do you write software for research as part of your job?,edu1. What is the highest level of education you have attained?,edu2. In which discipline is your highest academic qualification?,"time1can. On average, how much of your time is spent developing software?","time2can. On average, how much of your time is spent on research?","time2acan. On average, how much of the time you spend developing software is spent on new development/enhancement?","time2bcan. On average, how much of the time you spend developing software is devoted to maintenance and support activities?","time3can. On average, how much time do you spend on management?","time5can. On average, how much time do you spend on other activities?",soft1can. How many years of software development experience do you have?,soft2can. Do you consider yourself a professional software developer?,proj1_can. How many software projects are you currently involved in?,proj2_can. How many software developers typically work on your projects?,proj5_can. Do your research software projects typically include a project manager?,proj6_can. What development methodology does your current project use?,canarie1_can. Have you ever visited the Research Software Registry at science.canarie.ca?,canarie2_can. How many software components from science.canarie.ca have you integrated into your projects?,currentEmp1. What type of organization do you work for?,currentEmp5. What is your current job title?,currentEmp7. In which application area do you primarily work?,currentEmp10. What is the nature of your current employment?,group1_can. Do you work within a group that provides software development help or expertise to researchers from across your organization?,group1a_can. Is there such a group within your organization?,group2_can. Do you think such a group would have value?,group3_can. Would you be interested in participating in such a group?,paper1. Have you contributed software to research that has been published in a journal or presented at a conference?,"paper2. In general, when your software contributes to a paper, are you acknowledged in that paper?",paper3. Are you generally named as the main author of the paper?,paper4. Are you generally named as a co-author of the paper?,conf2_can. Which conference(s)/workshop(s)?,"open1_can. When you release code, how often do you use an open source license?",open3_can. List any open repositories (eg. GitHub) to which your software projects have been published.,"open3_can. When you release code or data, how often do you assign a Digital Object Identifier (DOI) to it?","skill1. In your opinion, what are the three most important skills that a Research Software Developer must possess? These skills can be technical and non-technical.",skill2. What three skills would you like to acquire or improve to help your work as a Research Software Developer? These skills can be technical and non-technical.,tool1. What are the three tools or services you use most often in your software work?,tool2. What is your Operating System of choice for development?,tool3_can. What is your Operating System of choice for deployment?,"tool4_can. What programming languages do you use in developing research software? Please list in order, beginning with most frequently used.",data1_can. Do any of your current projects make use of a data management or data archiving component?,data2_can. Is it part of your software or an external system? (please specify),open4_can. Do any of your current projects accommodate the open/public sharing of data?,open5_can. Is the creation of a Digital Object Identifier (DOI) and metadata for individual assets supported?,org1_can. Would you be interested in joining such an organization if one was formed in Canada?,instit1_can. Have you developed software that is accessed from multiple institutions?,caf1_can. Do any of your current or previous projects make use of the Canadian Access Federation (CAF) Federated Identity Management (FIM) service?
0,Canada,No,Doctorate,Other,3,9,3,3,5,2,20.0,No,4.0,3-5,Yes,Other,Yes,0.0,University,Distinguished Professor,Social sciences and humanities,Full-time,No,Yes,,,Yes,Yes,No,Yes,"DH, CDSH/SCHN, MLA",Always,,Often,"Creative and structured thinking
disciplinary aptitude
pertinent technical skills",as above.,,Mac OS,Mac OS,"mostly, rapid prototyping languages at the moment.",Yes,External System,Yes,No,Yes,Yes,I'm not familiar with CAF
1,Canada,Yes,Doctorate,Information technology,4,4,8,2,2,2,21.0,Yes,5.0,3-5,Yes,Scrum,Yes,2.0,Non-profit,Chercheur,Information technology,Full-time,No,Yes,,,Yes,Yes,Yes,Yes,"CONLL, ACFAS, COMPUTERM, TIA",Always,Github,Never,"Connaissance algorithmique
Test et validation logiciel
Capacité d'analyse",,"Eclipse
Code versioning
Continuous integration server",Windows,GNU/Linux,"Java, Scala, Python",No,,No,,Yes,Yes,No
2,Canada,Yes,Doctorate,Theoretical physics and chemistry,3,7,6,3,2,2,40.0,No,1.0,10+,No,No formal methodology,No,,University,Professor of Chemistry,Theoretical physics and chemistry,Full-time,No,No,Yes,Yes,Yes,No,No,No,"Many. American Chemical Society, Canadian Society for Chemistry, CECAM workshops, deMon Developers Workshop, Topical conferences on multiscale simulations of materials and biomaterials.",Never,,Never,"translating physical equations into algorithms
coding
selection of front-line applications","project management
version-handling
herding cats",,GNU/Linux,GNU/Linux,"Fortran, Python, C++",No,,No,,Yes,No,I'm not familiar with CAF
3,Canada,No,Some College,Other,10 (All my time),3,5,6,1 (None at all),2,10.0,Yes,5.0,3-5,Yes,Kanban,No,0.0,Other,Software Developer,,Full-time,No,No,No,,No,No,No,No,,Very Often,"Github
BitBucket",Never,Curiosity,"AI,Communications, Machine Learning","Git, Atom, Linux",GNU/Linux,GNU/Linux,"Ruby,JS",No,,No,,No,No,No
4,Canada,Yes,Masters Degree,Other,4,2,6,2,2,2,5.0,No,4.0,Just me,No,Kanban,Yes,0.0,University,professionnel de recherche,Other,Full-time,No,No,No,,Yes,No,No,No,,Always,Bioconductor,Never,,,"Éditeur de texte
git
stackoverflow",GNU/Linux,GNU/Linux,"R, ruby (et RAILS), perl",Yes,Software,,,Yes,Yes,I'm not familiar with CAF
5,Canada,Yes,Masters Degree,Molecular biology,7,3,5,3,2,3,12.0,No,4.0,Just me,No,No formal methodology,Yes,0.0,Government department,Bioinformatics Programmer,Life sciences research related to human health and disease,Full-time,No,No,Yes,Yes,Yes,Yes,No,Yes,,Always,,Never,"Big picture view
Ability to dissect user requirements
Agile development","Project management
Advanced algorithm development
Big data","Netbeans
Hibernate
Struts2",GNU/Linux,GNU/Linux,"Java
Perl
R",Yes,External System,No,,Yes,No,I'm not familiar with CAF
6,Canada,Yes,Doctorate,Other,3,4,3,1 (None at all),3,2,20.0,No,2.0,3-5,Yes,No formal methodology,No,0.0,University,Asst Prof,Other,Full-time,No,No,Yes,Yes,Yes,Yes,No,Yes,"GECCO
Building Simulation
CISBAT",Always,GitHub,Never,"Creative problem solving
Balancing time and reward
Persistance","Better programming knowledge
Better computer science knowledge
Better software development knowledge","Anaconda
Sublime",Windows,Windows,"Python
Matlab",No,,Yes,No,Yes,Yes,I'm not familiar with CAF
7,Canada,Yes,Masters Degree,Electrical and electronic engineering,10 (All my time),1 (None at all),2,2,6,1 (None at all),17.0,Yes,2.0,6-9,Yes,Kanban,Yes,12.0,Non-profit,Chargé de projets,Information technology,Part-time,Yes,,,,No,No,No,No,Plusieurs colloques et journées technos au CRIM. Canarie Summit.,Always,GitHub,Never,"Expertise
Minutie
Organisation","Leadership
Communication
Développement des affaires","Atlassian Suite
Google Docs",Mac OS,GNU/Linux,"JS
Scala",Yes,Software,No,,No,Yes,No
8,Canada,Yes,Doctorate,Astronomy and astrophysics,3,5,9,2,4,4,15.0,No,20.0,3-5,No,No formal methodology,Yes,0.0,University,Associate Professor,Astronomy and astrophysics,Full-time,Yes,,,,Yes,Yes,No,Yes,Astronomical Data Analysis Software and Systems (ADASS),Always,"GitHub, bitbucket",Sometimes,"Flexibility, Mathematical background, Initiative","Software Project Management, Testing structures, Time management","Git/github, OpenStack/AWS, Dockerhub",GNU/Linux,GNU/Linux,"Python, C++",Yes,Software,Yes,Yes,No,Yes,No
9,Canada,Yes,Masters Degree,Oceanography,3,5,7,4,8,2,15.0,No,5.0,3-5,Yes,Scrum,Yes,0.0,Non-profit,Data manager,Oceanography,Full-time,Yes,,,,Yes,Yes,No,Yes,,Never,,Never,"Understand field of research where software is needed (scientific skills)
Up to date knowledge of software development practises
Project management skills","Research current open source practises
Maintain current knowledge in technology
Update code skills in python","Matlab
Python and R on Jupyter
SQL developer",Mac OS,Mac OS,"Matlab, Python",Yes,External System,Yes,No,Yes,No,I'm not familiar with CAF
