section,code,question,answer_format,answer_file,conditional,source,comment,lang_trans1,lang_trans2,lang_trans3
1,socio1,In which country do you work?,ONE CHOICE,countries,,https://github.com/datasets/country-list,done,In welchem Land arbeitest Du?,,
1,edu1,What is the highest qualification you have obtained?,ONE CHOICE,education_de,,,,"Was ist Dein höchster, an einer Bildungseinrichtung erworbener Abschluss?",,
1,edu2,In which subject is your highest academic qualification?,ONE CHOICE,academic_field,,http://www.thecompleteuniversityguide.co.uk/courses,,In welchem Bereich hast Du diesen Bildungsabschluss erlangt?,,
1,edu3,Enter your academic subject,FREETEXT,,'Other’ in edu2,,,In welchem Fachbereich arbeitest Du?,,
1,edu4,Do you hold any other professional qualifications?,FREETEXT,,,,,"Besitzt Du weitere Abschlüsse? Wenn ja, welche?",,
1,rse1,Do you write code as part of your job?,Y/N/NA,,,,,Entwickelst Du in Deiner Arbeitszeit Software? Schreibst Du z.B. Quellcode oder Skripte?,,
1,rse4de,"Are you involved and responsible for software projects with non-coding activities as part of your job, e.g. do you lead a software projects, design software architectures or UIs, testing, write documentation?",Y/N/NA,,,,,"Bist Du in Deiner Arbeitszeit in Softwareprojekten involviert und für diese komplett oder in Teilen verantwortlich ohne Quellcode zu schreiben? Bist Du beispielsweise nicht-programmierend als Project Lead, Software Architekt, UI Designer, Tester, Autor der Dokumentation o.ä. beteiligt?",,
1,rse3,Who uses the code that you write?,LIKERT,likert_usage_5,,,done,Wer nutzt den von Dir geschrieben Code?,,
1,soft2can,Do you consider yourself a professional software developer?,Y/N/NA,,,,,Würdest Du Dich als professionellen Softwareentwickler bezeichnen?,,
1,soft1can,How many years of Software development experience do you have?,FREENUMERIC,,,,,Wieviel Jahre Erfahrung hast Du bei der Entwicklung von Software?,,
1,time1can,"In an average month, how much time do you spend on software development (Please rate your answer between 1 to 10. 1 Being none at all and 10 being All your time.)",LIKERT,likert_time_10,,,done,"Wieviel Zeit verbringst Du im Durchschnitt monatlich mit der Entwicklung von Software? (Bitte wähle zwischen 1 und 10, 1 = gar nicht, 10 = jederzeit, immer)",,
1,time2can,"In an average month, how much time do you spend on Research",LIKERT,likert_time_10,,,done,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Forschung?,,
1,time3can,"In an average month, how much time do you spend on Management",LIKERT,likert_time_10,,,done,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Management?,,
1,time4can,"In an average month, how much time do you spend on Teaching",LIKERT,likert_time_10,,,done,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit Lehre?,,
1,time5can,"In an average month, how much time do you spend on Other activities",LIKERT,likert_time_10,,,done,Wieviel Zeit verbringst Du im Durchschnitt monatlich mit anderen Aktivitäten?,,
2,currentEmp1,What type of organisation do you work for?,ONE CHOICE,type_organisation_de,,,done,Wo arbeitest Du?,,
2,currentEmp2,Which University do you work for?,ONE CHOICE,universities_de,‘University’ in currentEmp1,,done,An welcher Universität arbeitest Du?,,
2,currentEmp3,Please enter the university,FREETEXT,,"'Other' in [currentEmp2, currentEmp24de]",,,Bitte benenne die Hochschule!,,
2,currentEmp20de,Which Fraunhofer institute do you work for?,ONE CHOICE,fraunhofer_de,‘Fraunhofer Society’ in currentEmp1,,done,An welchem Fraunhofer-Institut arbeitest Du?,,
2,currentEmp21de,Which Helmholtz institute do you work for?,ONE CHOICE,hgf_de,‘Helmholtz Association of German Research Centres’ in currentEmp1,,done,An welchem Helmholtz-Institut arbeitest Du?,,
2,currentEmp22de,Which Leibniz institute do you work for?,ONE CHOICE,leibniz_de,‘Leibniz Association’ in currentEmp1,,done,An welchem Leibniz-Institut arbeitest Du?,,
2,currentEmp23de,Which Max-Planck institute do you work for?,ONE CHOICE,mpg_de,‘Max Planck Society’ in currentEmp1,,done,An welchem Max-Planck-Institut arbeitest Du?,,
2,currentEmp24de,Which University of Applied Sciences?,ONE CHOICE,fh_de,‘University of Applied Sciences’ in currentEmp1,,done,An welcher Fachhochschule arbeitest Du?,,
2,currentEmp4,Which organisation do you work for?,FREETEXT,,"'OTHER' in [currentEmp1, currentEmp20de, currentEmp21de, currentEmp22de, currentEmp23de, currentEmp24de]",,,Für welches Institut arbeitest Du?,,
2,currentEmp5,What is your official job title?,FREETEXT,,,,,Wie ist Deine offizielle Stellenbezeichnung (Job Title)?,,
2,currentEmp6,"Are you known in your group by a different job title? If so, please enter the job title you use",FREETEXT,,,,,"Bist Du innerhalb Deiner Gruppe unter einer anderer Stellenbezeichung bekannt? Wenn ja, wie heißt diese?",,
2,currentEmp12,Do you work full time or part time,ONE CHOICE,type_hours,,,done,Bist Du Vollzeit oder Teilzeit beschäftigt?,,
2,currentEmp10,What type of contract are you employed on?,ONE CHOICE,type_contract_de,,,done,Auf welcher Art von Arbeitsvertrag bist Du beschäftigt?,,
2,currentEmp9,When did you start your current contract?,DATETIME,,,,,Welches Startdatum hat Dein jetziger Arbeitsvertrages?,,
2,currentEmp11,What is the duration of your current contract?,FREENUMERIC,,,,,Welche Dauer hat Dein jetziger Arbeitsvertrag?,,
2,currentEmp13,In which disciplines do you work (select as many as apply),MULTIPLE CHOICES,academic_field,,Same source as for academic field,done,In welchen Bereichen arbeitest Du (alle zutreffenden ankreuzen)?,,
3,prevEmp1,Where was your previous job based?,ONE CHOICE,type_organisation_de,,,done,Wo hast Du in Deinem vorherigem Job gearbeitet?,,
3,prevEmp2,Rank the following factors dependent on how strongly they influenced your decision to leave your previous position.,Ranking,reasons_leave_job,,"RSE interviews, review main features that people liked in their job",,"Ordne die folgenden Faktoren an, nach ihrem Einfluß auf Deinen Entschluß, Deine vorherige Arbeitsstelle zu verlassen.",,
4,currentWork1,"Do you always work with the same researcher(s), or do you regularly change the researcher(s) you work with? ",ONE CHOICE,work_researchers,,,done,Arbeitest Du regelmässig mit den selben Wissenschaftlern oder arbeitest Du oft mit bzw. für verschiedene Wissenschaftler?,,
4,currentWork2,Do you work for a Research Software Group?,Y/N/NA,,,,,"Arbeitest Du in einer Gruppe, die Software entwickelt?",,
4,paper1,Has your software contributed to research that has been published in a journal or at a conference?,Y/N/NA,,,,,"Hat Deine Software zu einer Arbeit bzw. einem Forschungsergebnis beigetragen, das in einem Journal oder auf einer Konferenz vorgestellt wurde?",,
4,paper2,"In general, when your software contributes to a paper, are you acknowledged in that paper?",Y/N/NA,,,,,"Wenn deine Software zu einer Publikation beigeträgst, wirst Du dafür normalerweise namentlich in der Publikation erwähnt bzw. zitiert?",,
4,paper3,Are you generally named as the main author of the paper?,Y/N/NA,,'YES’ to paper2,,,Wirst Du normalerweise als Hauptautor einer Publikation genannt?,,
4,paper4,Are you generally named as a co-author of the paper?,Y/N/NA,,'NO’ to paper3,,,Wirst Du normalerweise als Co-Autor einer Publikation genannt?,,
4,paper5,Are you generally acknowledged in the main text of the paper? ,Y/N/NA,,,,,Wirst Du normalerweise in den 'Acknowledgements' oder in anderen Textstellen einer Publikation genannt?,,
4,conf1can,Have you ever presented your software work at a conference or workshop?,FREETEXT,,,,,Hast Du Deine software-bezogene Arbeit schon mal auf einer Konferenz oder einem Workshop vorgestellt?,,
4,conf2can,Which conference(s)/workshop(s),FREETEXT,,,,,Auf welcher Konferenz oder auf welchem Workshop hast Du Deine software-bezogene Arbeit vorgestellt?,,
4,proj1can,How many software projects are you currently involved in?,FREENUMERIC,,,,,In wie vielen Softwareprojekten bis Du derzeit direkt involviert?,,
4,proj2can,How many software developers typically work on your projects?,ONE CHOICE,proj_how_many_de,,Canada 17,done,Wieviele Entwickler arbieten typischerweise an Deinen Softwareprojekten?,,
4,stability1,What is the bus factor of your most important software project?,ONE CHOICE,bus_factor,,,done,"Wie hoch ist der Busfaktor Deines wichtigsten Softwareprojektes? (Der Busfaktor gibt die Anzahl von Mitarbeitern oder Teammitgliedern an, die plötzlich in einem Projekt ausfallen können, ohne dass das Projekt aufgrund fehlender Knowhow-Träger und Schlüsselpersonen stehenbleibt bzw. stirbt.)",,
4,stability2,Is there a technical hand-over plan for your most important software project?,Y/N/NA,,,,,Gibt es einen technischen Übergabeplan für Dein wichtigstes Softwareprojekt?,,
4,proj4can,"In general, what sort of testing do you conduct on your software? (check all that apply) ",ONE CHOICE,testing,,,done,Welche Art von Tests wendest Du im allgemeinen auf Deine Software an? (wähle alle zutreffenden),,
4,open01can,Have you ever released your software under an open-source licence? ,Y/N/NA,,,,,Hast Du jemals Software unter einer Open-Source-Lizenz veröffentlicht?,,
4,open1can,How often do you release the software projects you've worked on under an open-source licence?,LIKERT,likert_time_10,'YES’ to open01can,,done,"Wie oft veröffentlichst Du Softwareprojekte, an denen Du mitgearbeitet hast, unter einer Open-Source-Lizenz?",,
4,open03an,Have you ever used a Digital Object Identifier (DOI) to identify your software? ,Y/N/NA,,,,,Hast Du schon einmal eine DOI (Digital Object Identifier) zur Identifizierung Deiner Software genutzt?,,
4,open3can,How often do you associate your software with a Digital Object Identifier (DOI)? ,LIKERT,likert_time_10,'YES’ to open03can,,done,Wie oft weist Du Deiner Software DOIs (Digital Object Identifier) zu?,,
4,open2de,Do you reference software directly or the papers describing the software?,ONE CHOICE,doi_topic_de,'YES’ to open03can,,done,Referenzierst Du die Software selbst oder das beschreibene Paper?,,
4,open3de,"Which (infrastructure) tools do you use if assigning DOIs (e.g. local library, Zenodo)?",FREETEXT,,'YES’ to open03can,,,"Welche Werkzeuge nutzt Du, um DOIs zuzuweisen (z. Bsp. Bibliothek vor Ort, Zenodo)?",,
4,open1de,Do you have an ORCID ID?,Y/N/NA,,,Stephan Janosch,,Hast Du eine ORCID ID?,,
4,train1,Have you ever trained researchers in computational techniques? ,Y/N/NA,,,,,"Hast Du schon einmal Wissenschaftlern beigebracht, rechnergestützte Methoden für ihre Arbeit zu nutzen?""",,
4,train2,"On average, how many times a year do you take part in providing training? ",FREENUMERIC,,'YES’ to train1,,,Wie oft im Jahr gestaltest Du Workshops oder andere Weiterbildungen als Lehrender / Instructor?,,
4,train3,"What training programs are you involved with (comma separated list; for example, Software Carpentry, local university training, etc.) ",FREETEXT,,'YES’ to train1,,,"In welchen Workshops, Weiterbildungsprogrammen o.ä. bist Du involviert? (Gib Deine Antworten bitte als Komma separierte Liste ein; z.B., Software Carpentry, Lehrgang an Universitäten, etc.) ",,
