,socio1. In which country do you work?,edu1. What is the highest qualification you have obtained?,edu2. What was your academic subject?,edu3. Enter your academic subject,rse16a. Are you employed primarily to develop software for research?,rse16b. Do you spend more time developing software than conducting research?,rse16c. Are you employed as a postdoctoral researcher?,"rse16d. Are you the person who ""does computers"" in your research group?",currentEmp1. Do you work for a university?,currentEmp16a. In what year did you start your current position?,currentEmp10. What type of contract are you employed on?,currentEmp11. What is the duration of your current contract?,currentEmp12. Do you work full time or part time?,currentEmp16b. Is this your first job?,prevEmp16a. Have you previously worked in the private sector?,prevEmp16b. Why did you leave the private sector?,prevEmp16d. What was the type of your contract?,currentEmp5. What is this job title?,currentWork2. Do you work within a group that provides software development help or expertise to researchers from other groups within your organisation?,currentWork16a. What percentage of your time do you spend developing software each week?,paper1. Has your software ever contributed to research that has been published in a journal or at a conference?,paper2. Were you acknowledged in the paper?,paper4. Were you named as a co-author of the paper?,paper5. Were you named as the lead author of the paper?,stability1. What is the bus factor of your most important software project?,stability2. Is there a technical hand-over plan for your most important software project?,perfCheck1. Do you receive sufficient information on the results of your work?,perfCheck2. Does your work give you the opportunity to check on how well you are doing your work?,perfCheck4. Do you receive sufficient information on the purpose of your work?,perfCheck5. Does your work provide you with direct feedback on how well you are doing your work?,perfCheck6. Does your supervisor/line manager inform you about how well you are doing your work?,perfCheck7. Do your colleagues inform you about how well you are doing your work?,turnOver1. How often do you feel frustrated when not given the opportunity to achieve your personal work-related goals?,turnOver2. How often do you look forward to another day at work?,turnOver3. How often do you consider leaving your job?,turnOver4. How often do dream about getting another job that will better suit your needs?,turnOver5. My current job satisfies my personal needs,turnOver6. I would accept another job at the same compensation level if I was offered it,affRec1. I am satisfied with my supervisor/line manager's confidence in me,affRec2. I am satisfied with a word of thanks from my supervisor/line manager,affRec3. I am satisfied with the recognition I receive from my supervisor/line manager for doing my job,affRec4. I am satisfied with the compliments from my supervisor/line manager concerning my work,affRec5. I am satisfied with the encouragement from my supervisor/line manager while doing my job,percEmp1. It would not be very difficult for me to get an equivalent job in a different organisation,percEmp2. I can think of a number of organisations that would probably offer me a job,percEmp3. My experience is in demand on the labour market,affSat1. I find real enjoyment in my job,affSat2. Most days I am enthusiastic about my job,affSat3. I feel fairly well satisfied with my job,affSat4. I like my job better than the average person,progRSE1. It is likely that I will gain a promotion within my current group,progRSE2. The process I have to complete to gain a promotion is clear and understandable,progRSE3. There are many opportunities within my chosen career plan,progRSE4. My current position is an integral part of my career plan,progRSE5. It is likely that my next position will be an RSE role,"skill2. In your opinion, what are the three most important skills that a Research Software Engineer must possess?","skill2-1. In your opinion, what are the three most important skills that a Research Software Engineer must possess?","skill2-2. In your opinion, what are the three most important skills that a Research Software Engineer must possess?",ukrse1. Are you a member of the UK RSE Association? (Members are people who have signed up to the UK RSE mailing list),tool1. What are the three tools or services you use most often to achieve your work?,tool16a. What are the three tools or services you use most often to achieve your work?,tool16b. What are the three tools or services you use most often to achieve your work?,socio2. Please select your gender,socio3. Please select your age,socio4. Please select the range of your salary,tool2. What is your Operating System of choice for use at work?
10,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,Yes,,Yes,2012.0,Fixed term,36.0,Full time,No,Yes,Others,Permanent,,Yes,~75%,Yes,Yes,Yes,No,1.0,No,Often,Sometimes,Sometimes,Sometimes,Sometimes,Never ,Never ,Often,Sometimes,Sometimes,Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Good at software,Scientifically literate,Flexible,Yes,Eclipse,Tomcat,Maven,,25 to 34 years,£40 000 to £44 999,GNU/Linux
11,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,No,Yes,2016.0,Fixed term,96.0,Full time,No,Yes,Others,Permanent,,Yes,50,Yes,Yes,Yes,Yes,3.0,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Agree,Disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Strongly disagree,Disagree,Agree,Strongly Agree,,,,Yes,,,,,45 to 54 years,£45 000 to £50 000,GNU/Linux
12,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,Yes,Yes,Yes,2013.0,Fixed term,60.0,Full time,No,No,,Fixed-term,,No,80,Yes,Yes,Yes,Yes,1.0,No,Sometimes,Never ,Sometimes,Sometimes,Always,Never ,Very Often,Sometimes,Never,Always,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly Agree,intelligence,inovation,punctuallity,Yes,R,Eclipse,latex,Male,25 to 34 years,£35 000 to £39 999,OS X
13,United Kingdom,Masters degree,Biological Sciences,,Yes,Yes,No,No,No,2012.0,Permanent,,Full time,No,No,,Permanent,Web Service & GIS developer,No,85,Yes,Yes,Yes,No,3.0,No,Very Often,Very Often,Always,Always,Always,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Agree,Strongly Agree,Communication,Technical Development,Time Management,No,sublime text editor,thredds data server,web browser,Male,25 to 34 years,£30 000 to £34 999,GNU/Linux
14,United Kingdom,Doctorate,Physical Sciences,,Yes,Yes,No,Yes,Yes,2010.0,Permanent,,Full time,No,No,,Permanent,,Yes,80,Yes,Yes,Yes,No,1.0,No,Sometimes,Often,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Strongly Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,Agree,Strongly Agree,Strongly Agree,Problem solving,Programming proficiency,Scientific background,Yes,LabVIEW,Python,MySQL,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
15,United Kingdom,Undergraduate degree,Computer Sciences,,No,Yes,No,,Yes,2011.0,Permanent,,Part time,No,Yes,Others,Permanent,,Yes,It varies massively.,Yes,No,No,No,1.0,No,Never ,Never ,Sometimes,Never ,Never ,Never ,Always,Sometimes,Sometimes,Often,Neither agree or disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Patience,Integrity,Tact,Yes,Linux and associated open source tools,Internet search engine,people/contacts,Female,25 to 34 years,£30 000 to £34 999,GNU/Linux
16,United Kingdom,Undergraduate degree,Engineering,,No,No,Yes,Yes,Yes,2015.0,Fixed term,6.0,Full time,No,Yes,Others,Freelancer  consultant  contractors,,No,30,Yes,Yes,No,Yes,1.0,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Always,Disagree,Disagree,Disagree,Disagree,Neither agree or disagree,Disagree,Disagree,Neither agree or disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neither agree or disagree,Strongly disagree,Agree,Disagree,Documentation,Reproducibility by third party,How to find and select appropriate validation cases,Yes,Spyder,Matlab,Google Scholar,Male,25 to 34 years,£30 000 to £34 999,Windows
17,United Kingdom,Doctorate,Physical Sciences,,Yes,No,Yes,No,Yes,2014.0,Fixed term,36.0,Full time,No,No,,Fixed-term,,No,80,Yes,Yes,Yes,Yes,3.0,No,Always,Always,Very Often,Very Often,Always,Often,Always,Sometimes,Sometimes,Never ,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neither agree or disagree,Programming capability,Communication,Time management,Yes,HPC facilities,HPC support,Desktop IT facilities,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
18,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,Yes,No,Yes,2009.0,Fixed term,12.0,Full time,No,Yes,Others,Permanent,Researcher,No,80,Yes,No,Yes,Yes,3.0,No,Very Often,Often,Always,Often,Often,Sometimes,Sometimes,Never,Sometimes,Never ,Strongly Agree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Programming,People,Research,Yes,IntelliJ IDEA,LaTeX,gnuplot,Male,25 to 34 years,£40 000 to £44 999,GNU/Linux
19,United Kingdom,Masters degree,Computer Sciences,,No,Yes,No,,Yes,2013.0,Permanent,,Full time,No,No,,Freelancer  consultant  contractors,,Yes,35,Yes,No,No,No,1.0,No,Often,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Never,Never ,Sometimes,Strongly Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Neither agree or disagree,Communication skills,Good social skills,Good problem solving and analytical skills,Yes,,,,Male,45 to 54 years,£45 000 to £50 000,GNU/Linux
20,United Kingdom,Masters degree,Physical Sciences,,Yes,Yes,No,,Yes,2014.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,60,Yes,Yes,Yes,No,2.0,No,Sometimes,Sometimes,Very Often,Often,Often,Sometimes,Sometimes,Often,Never ,Never ,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Disagree,Neither agree or disagree,Agree,Strongly Agree,Agree,Agree,Neither agree or disagree,Agree,Disagree,Disagree,Agree,Neither agree or disagree,Understanding of programming fundamentals,Data modelling,Communication,Yes,Text Editor (Atom/Vim),PostgreSQL,Email,Male,35 to 44 years,£35 000 to £39 999,OS X
21,United Kingdom,Masters degree,Biological Sciences,,Yes,Yes,No,Yes,Yes,2013.0,Fixed term,12.0,Full time,Yes,,,,,No,"100% of working time, 55/168 hours during the week",Yes,No,No,Yes,1.0,No,Always,Always,Always,Always,Always,Often,Sometimes,Never,Never ,Never ,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Primary familiarity with science rather than programming,"Ability to write ""clean enough"" code quickly",Not afraid to write simple algorithms than go for sexy complicated algorithms that look clever but do worse,No,Xcode,GCC compiler,TextWrangler,Female,25 to 34 years,£30 000 to £34 999,GNU/Linux
22,United Kingdom,Masters degree,Computer Sciences,,Yes,No,,,Yes,2011.0,Fixed term,24.0,Full time,No,No,,Fixed-term,,No,65,Yes,Yes,Yes,Yes,2.0,No,Very Often,Often,Very Often,Often,Often,Often,Sometimes,Often,Never ,Sometimes,Agree,Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neither agree or disagree,Agree,Neither agree or disagree,Strongly disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,coding,analytics,capacity of adaptation,Yes,linux bash scripting,c++,latex,Male,35 to 44 years,£45 000 to £50 000,GNU/Linux
23,United Kingdom,Undergraduate degree,Mathematical and Computer Sciences,,Yes,,No,,Yes,2011.0,Permanent,,Full time,No,Yes,Others,Permanent,,Yes,100,No,,,,2.0,Yes,Very Often,Very Often,Very Often,Very Often,Often,Never ,Often,Never,Sometimes,Sometimes,Agree,Strongly disagree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree or disagree,Agree,Neither agree or disagree,Ability to communicate,Expertise in your field of experiance,Patience,Yes,IDE,Microsoft Ourlook,Browser,Female,45 to 54 years,£30 000 to £34 999,Windows
24,United Kingdom,Masters degree,Biological Sciences,,Yes,Yes,No,No,Yes,2014.0,Fixed term,27.0,Full time,No,Yes,Others,Permanent,,Yes,80%,No,,,,2.0,Yes,Sometimes,Often,Sometimes,Often,Sometimes,Sometimes,Very Often,Never ,Sometimes,Always,Strongly disagree,Strongly Agree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Ability to take criticism,Documentation skills,Extremely effective communication,No,Github,Django,skype,Male,35 to 44 years,£35 000 to £39 999,GNU/Linux
25,United Kingdom,Undergraduate degree,Computer Sciences,,Yes,Yes,No,No,Yes,2015.0,Fixed term,18.0,Full time,No,Yes,Others,Fixed-term,,No,20,No,,,,1.0,Yes,Sometimes,Sometimes,Very Often,Often,Sometimes,Never ,Sometimes,Often,Sometimes,Sometimes,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Agree,Disagree,Resourcefulness,project/task management,communication skills,Yes,Symplectic,VIVO,ORCID,Male,35 to 44 years,£40 000 to £44 999,OS X
26,United Kingdom,Masters degree,Biological Sciences,,No,No,No,No,Yes,2010.0,Fixed term,24.0,Full time,No,Yes,Others,Fixed-term,,No,40,Yes,Yes,Yes,No,2.0,No,Often,Often,Very Often,Very Often,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Disagree,Agree,Neither agree or disagree,Agree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Disagree,Programming,Communication,Teamwork,No,Scientific Python,GitHub,Jupyter Notebook,Male,35 to 44 years,£45 000 to £50 000,GNU/Linux
27,United Kingdom,Doctorate,Computer Sciences,,Yes,Yes,No,Yes,Yes,2016.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,50%,Yes,Yes,Yes,Yes,3.0,No,Sometimes,Often,Never ,Never ,Sometimes,Often,Never ,Sometimes,Never ,Sometimes,Agree,Strongly disagree,Neither agree or disagree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Agree,Neither agree or disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Communication,Approachability,Broad Understanding of Research Domains,Yes,CUDA,Github/SVN,,Male,25 to 34 years,£40 000 to £44 999,Windows
28,United Kingdom,Doctorate,Computer Sciences,,No,Yes,No,Yes,Yes,2015.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,20,Yes,Yes,Yes,Yes,3.0,No,Often,Always,Often,Often,Often,Often,Sometimes,Often,Never ,Never ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neither agree or disagree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree or disagree,Agree,Disagree,broad scientific knowledge,programming skills,software engineering knowledge,Yes,python,mpi,vim,Male,25 to 34 years,£40 000 to £44 999,GNU/Linux
29,United Kingdom,Doctorate,Computer Sciences,,No,No,No,No,No,2015.0,Permanent,,Full time,No,Yes,Others,Permanent,,No,20,No,,,,2.0,Yes,Very Often,Very Often,Always,Always,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Agree,Insight,Software development,Ability to process small data in to something bigger,Yes,Python,vim,Google scholar,Male,25 to 34 years,£70 000 to £99 000,GNU/Linux
30,United Kingdom,Doctorate,Biological Sciences,,No,Yes,No,Yes,Yes,2001.0,Permanent,,Full time,No,No,,Fixed-term,,Yes,50%,Yes,No,Yes,Yes,1.0,No,Often,Often,Very Often,Very Often,Always,Very Often,Sometimes,Never,Sometimes,Sometimes,Strongly Agree,Neither agree or disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Neither agree or disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,communication,flexibility,technical,Yes,git,vim,bitbucket,Male,45 to 54 years,£45 000 to £50 000,GNU/Linux
31,United Kingdom,Doctorate,Biological Sciences,,Yes,Yes,Yes,Yes,Yes,2013.0,Fixed term,60.0,Full time,No,Yes,Others,Permanent,,Yes,80,No,,,,5.0,No,Often,Sometimes,Very Often,Sometimes,Sometimes,Very Often,Often,Sometimes,Sometimes,Sometimes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Strongly Agree,Agree,Agree,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Strongly Agree,Strongly Agree,Communication,Ability to work from vague descriptions,Programming,Yes,Python/Perl,SQL,In-house workflow tools,Female,25 to 34 years,£35 000 to £39 999,GNU/Linux
